date,GPP_NT_VUT_REF,n_datapoints,n_measured,SW_IN_F,f_measured
2005-08-24,5.702054208333333,48,1,163.271625,0.020833333333333332
2005-08-25,6.104520708333333,48,3,111.96204166666666,0.0625
2005-08-26,9.958504187499999,48,23,205.97870833333334,0.4791666666666667
2005-08-27,8.2754858125,48,12,210.10520833333334,0.25
2005-08-28,8.542427916666666,48,22,240.650125,0.4583333333333333
2005-08-29,9.52659225,48,18,282.36114583333335,0.375
2005-08-30,8.608814375,48,25,273.3436875,0.5208333333333334
2005-08-31,7.396668875,48,12,265.00666666666666,0.25
2005-09-01,9.37398575,48,22,242.4500625,0.4583333333333333
2005-09-02,8.813624833333334,48,20,210.6798125,0.4166666666666667
2005-09-03,10.496137104166666,48,40,245.19333333333333,0.8333333333333334
2005-09-04,5.0873397916666665,48,30,137.2030625,0.625
2005-09-05,5.93991525,48,7,191.59527083333333,0.14583333333333334
2005-09-06,7.539476479166667,48,30,249.86216666666667,0.625
2005-09-07,6.4148349375,48,17,250.4918125,0.3541666666666667
2005-09-08,7.8158786875,48,10,244.69041666666666,0.20833333333333334
2005-09-09,7.251341833333333,48,24,184.76002083333333,0.5
2005-09-10,6.591987708333333,48,29,133.97504166666667,0.6041666666666666
2005-09-11,5.4626534583333335,48,21,109.67989583333333,0.4375
2005-09-12,5.138636020833333,48,8,100.74597916666667,0.16666666666666666
2005-09-13,6.854384645833333,48,12,140.5820625,0.25
2005-09-14,3.187164145833333,48,16,91.44729166666667,0.3333333333333333
2005-09-15,5.702897354166667,48,14,164.9545625,0.2916666666666667
2005-09-16,5.365739020833333,48,17,169.706125,0.3541666666666667
2005-09-17,3.6801014375,48,1,47.26422916666667,0.020833333333333332
2005-09-18,3.1706870208333333,48,36,32.16725,0.75
2005-09-19,3.6556843541666666,48,30,59.408791666666666,0.625
2005-09-20,8.3091128125,48,17,160.95464583333333,0.3541666666666667
2005-09-21,6.57097825,48,33,217.9685,0.6875
2005-09-22,7.0806835,48,6,211.24745833333333,0.125
2005-09-23,5.326241270833333,48,15,205.12260416666666,0.3125
2005-09-24,4.757325104166667,48,10,196.365,0.20833333333333334
2005-09-25,5.3552543125,48,12,175.78679166666666,0.25
2005-09-26,6.471918583333333,48,18,126.49591666666667,0.375
2005-09-27,4.556130854166667,48,4,70.6143125,0.08333333333333333
2005-09-28,5.257910708333333,48,21,121.10454166666666,0.4375
2005-09-29,2.312416520833333,48,11,60.293145833333334,0.22916666666666666
2005-09-30,3.4104859166666666,48,0,97.4519375,0
2005-10-01,0.9244635208333334,48,9,36.36145833333333,0.1875
2005-10-02,0.09140991666666669,48,0,23.617458333333335,0
2005-10-03,0.7721045833333333,48,0,11.7463125,0
2005-10-04,1.1399804791666666,48,1,71.71135416666667,0.020833333333333332
2005-10-05,0.211844625,48,3,63.674479166666664,0.0625
2005-10-06,1.0416440833333334,48,0,58.939375,0
2005-10-07,3.2877988541666667,48,7,104.0383125,0.14583333333333334
2005-10-08,3.395053354166667,48,11,156.909375,0.22916666666666666
2005-10-09,3.8544458125,48,7,172.28629166666667,0.14583333333333334
2005-10-10,5.12777075,48,4,91.82370833333333,0.08333333333333333
2005-10-11,5.567912604166667,48,12,133.75589583333334,0.25
